class;MaxR;MaxG;MaxB;MeanR;MeanG;MeanB;SenseR;SenseG;SenseB
0;242;255;255;236;254;254;646;775;677
0;239;255;255;235;254;254;646;775;677
0;237;255;255;236;254;254;646;775;677
0;242;255;255;237;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;242;255;255;235;254;254;646;775;677
0;242;255;255;235;254;254;646;775;677
0;237;255;255;232;254;254;646;775;677
0;240;255;255;238;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;242;255;255;239;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;242;255;255;238;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;240;255;255;236;254;254;646;775;677
0;236;255;255;233;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;239;255;255;236;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;239;255;255;234;254;254;646;775;677
0;239;255;255;234;254;254;646;775;677
0;239;255;255;236;254;254;646;775;677
0;242;255;255;238;254;254;646;775;677
0;239;255;255;235;254;254;646;775;677
0;239;255;255;236;254;254;646;775;677
0;239;255;255;234;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;239;255;255;235;254;254;647;775;677
0;237;255;255;235;254;254;646;775;677
0;229;255;255;230;254;254;646;775;677
0;239;255;255;234;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;237;255;255;235;254;254;646;775;677
0;240;255;255;236;254;254;646;775;677
0;223;255;255;226;253;254;646;775;677
0;237;255;255;233;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;236;255;255;234;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;239;255;255;235;254;254;647;775;677
0;242;255;255;236;254;254;646;775;677
0;237;255;255;233;254;254;646;775;677
0;239;255;255;236;254;254;647;775;677
0;239;255;255;234;254;254;647;775;677
0;239;255;255;236;254;254;646;775;677
0;239;255;255;235;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;239;255;255;233;254;254;646;775;677
0;240;255;255;235;254;254;647;775;677
0;239;255;255;237;254;254;647;775;677
0;239;255;255;234;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;242;255;255;236;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;237;255;255;233;254;254;647;775;677
0;233;255;255;232;254;254;647;775;677
0;240;255;255;236;254;254;647;775;677
0;240;255;255;235;254;254;647;775;677
0;239;255;255;236;254;254;647;775;677
0;242;255;255;236;254;254;647;775;677
0;239;255;255;235;254;254;647;775;677
0;236;255;255;234;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;239;255;255;233;254;254;647;775;677
0;239;255;255;233;254;254;647;775;677
0;237;255;255;236;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;239;255;255;234;254;254;646;775;677
0;237;255;255;234;254;254;646;775;677
0;237;255;255;235;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;239;255;255;235;254;254;647;775;677
0;239;255;255;234;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;242;255;255;235;254;254;647;775;677
0;236;255;255;233;254;254;647;775;677
0;239;255;255;234;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;237;255;255;235;254;254;647;775;677
0;237;255;255;234;254;254;647;775;677
1;229;255;210;225;247;208;641;770;656
1;231;255;215;227;249;210;641;770;656
1;227;255;210;225;247;208;641;770;656
1;229;255;212;227;249;209;641;770;656
1;229;255;213;228;249;210;641;770;656
1;229;255;215;227;249;210;641;770;656
1;229;255;212;226;248;209;641;770;656
1;229;255;212;227;248;209;641;770;656
1;231;255;215;229;250;212;641;770;656
1;229;255;212;226;248;208;641;770;656
1;227;249;210;223;246;206;641;770;656
1;227;255;212;225;247;208;641;770;656
1;229;255;212;225;248;208;641;770;656
1;229;255;210;224;247;207;641;770;656
1;223;246;206;221;244;203;641;770;656
1;233;255;214;227;249;210;641;770;656
1;224;255;210;224;247;207;641;770;656
1;227;255;212;225;247;208;641;770;656
1;229;255;212;226;248;208;641;770;656
1;229;255;212;226;248;209;641;770;656
1;229;255;210;226;248;208;641;770;656
1;227;255;212;225;247;207;641;770;656
1;224;247;206;220;243;202;641;770;656
1;227;255;212;226;248;208;641;770;656
1;229;255;214;227;249;210;641;770;656
1;229;255;212;227;248;209;641;770;656
1;231;255;215;228;249;210;641;770;656
1;229;255;213;226;248;209;641;770;656
1;229;255;212;226;248;209;641;770;657
1;229;255;215;227;248;209;641;770;656
1;229;255;212;226;248;209;641;770;656
1;227;255;210;224;247;207;641;770;657
1;229;255;213;226;248;209;641;770;657
1;229;255;212;225;248;208;641;770;656
1;227;255;210;226;248;208;641;770;656
1;227;255;212;226;248;209;641;770;656
1;229;255;212;227;249;210;641;770;656
1;227;255;212;225;247;208;641;770;656
1;229;255;207;225;248;208;641;770;656
1;229;255;212;226;248;208;641;770;656
1;227;255;210;225;247;208;641;770;656
1;229;255;210;225;247;207;641;770;656
1;229;255;215;227;249;209;641;770;656
1;229;255;212;226;248;209;641;770;656
1;229;255;212;226;248;209;641;770;656
1;229;255;212;226;248;208;641;770;656
1;229;255;212;227;249;210;641;770;656
1;229;255;212;225;248;208;641;770;656
1;227;255;212;225;248;208;641;770;656
1;229;255;215;226;248;209;641;770;656
1;227;255;210;225;247;207;641;770;656
1;227;255;210;225;247;208;641;770;656
1;234;255;215;228;250;211;641;770;656
1;229;255;210;225;247;208;641;770;656
1;227;255;212;225;247;207;641;770;656
1;229;255;212;226;248;208;641;770;656
1;231;255;214;226;249;209;641;770;656
1;227;255;210;225;247;208;641;770;656
1;229;255;210;225;247;207;641;770;656
1;229;255;215;227;248;210;641;770;656
1;229;255;212;226;247;208;641;770;656
1;229;255;212;226;248;209;641;770;656
1;229;255;207;224;247;207;641;770;656
1;227;255;212;225;248;208;641;770;656
1;229;255;212;225;247;208;641;770;656
1;229;255;215;226;248;209;641;770;656
1;229;255;207;225;248;208;641;770;657
1;227;255;212;225;248;209;641;770;656
1;231;255;215;227;248;209;641;770;656
1;229;255;212;225;248;208;641;770;656
1;227;255;210;225;248;208;641;770;657
1;229;255;212;225;247;208;641;770;656
1;229;255;207;225;248;208;641;770;657
1;223;246;204;219;243;201;641;770;656
1;229;255;215;227;248;209;641;770;657
1;229;255;210;225;247;207;641;770;657
1;227;249;210;224;247;207;641;770;657
1;229;255;211;226;248;209;641;770;657
1;224;247;207;223;246;206;641;770;656
1;229;255;212;225;248;208;641;770;656
1;229;255;210;226;248;208;641;770;656
1;229;255;210;225;247;208;641;770;657
1;229;255;213;226;248;209;641;770;657
1;227;255;210;225;247;208;641;770;657
1;229;255;211;225;247;208;641;770;657
1;229;255;212;226;248;209;641;770;657
1;227;255;210;225;247;208;641;770;656
1;224;247;202;219;242;201;641;770;657
1;229;255;212;225;248;208;641;770;657
1;229;255;210;226;248;209;641;770;657
1;229;255;210;225;247;208;641;770;657
1;229;255;212;227;248;209;641;770;657
1;227;255;210;225;247;208;641;770;657
1;229;255;210;226;248;208;641;770;657
1;233;255;216;228;249;211;641;770;656
1;229;255;212;226;248;209;641;770;657
1;229;255;212;226;248;209;641;770;657
1;227;255;210;225;247;208;641;770;657
1;229;255;212;226;248;209;641;770;657
1;229;255;212;226;248;209;641;770;657
1;212;251;163;210;247;158;630;756;628
1;216;255;162;212;248;160;630;756;628
1;216;255;162;211;248;160;630;756;628
1;213;255;163;211;248;159;630;756;628
1;218;255;162;211;248;159;630;756;628
1;218;255;162;212;248;160;630;756;628
1;211;248;158;208;245;157;630;756;628
1;213;255;163;211;247;159;630;756;628
1;219;255;165;213;249;161;630;756;629
1;218;255;162;211;247;159;630;756;628
1;213;255;162;210;247;158;630;756;628
1;212;250;162;210;247;158;630;756;628
1;212;255;162;210;247;159;630;756;628
1;213;255;158;210;246;158;630;756;628
1;212;255;163;211;247;159;630;756;629
1;213;255;163;211;247;159;630;756;628
1;216;255;162;212;248;160;630;756;628
1;213;255;162;212;248;159;629;756;628
1;212;255;162;210;247;159;630;756;628
1;212;250;162;210;247;158;630;756;628
1;219;255;163;211;248;160;630;756;629
1;219;255;163;211;248;159;630;756;628
1;211;248;158;209;246;157;630;756;628
